iter	Passed	Remaining
734	7414	2673
735	7416	2660
736	7418	2647
737	7426	2636
738	7428	2623
739	7430	2610
740	7445	2602
741	7448	2589
742	7450	2577
743	7459	2566
744	7461	2553
745	7464	2541
746	7467	2529
747	7474	2518
748	7477	2505
749	7479	2493
750	7486	2482
751	7488	2469
752	7492	2457
753	7494	2445
754	7501	2434
755	7504	2422
756	7506	2409
757	7509	2397
758	7516	2386
759	7520	2374
760	7522	2362
761	7524	2350
762	7530	2339
763	7533	2327
764	7538	2315
765	7543	2304
766	7546	2292
767	7548	2280
768	7550	2268
769	7552	2256
770	7555	2244
771	7559	2232
772	7562	2220
773	7564	2208
774	7566	2196
775	7568	2184
776	7570	2172
777	7573	2160
778	7575	2149
779	7577	2137
780	7578	2125
781	7580	2113
782	7583	2101
783	7585	2089
784	7588	2078
785	7590	2066
786	7592	2054
787	7596	2043
788	7609	2035
789	7612	2023
790	7614	2011
791	7619	2001
792	7623	1989
793	7625	1978
794	7630	1967
795	7642	1958
796	7645	1947
797	7656	1938
798	7660	1927
799	7663	1915
800	7670	1905
801	7675	1894
802	7680	1884
803	7690	1874
804	7694	1863
805	7702	1853
806	7708	1843
807	7720	1834
808	7722	1823
809	7727	1812
810	7732	1802
811	7734	1790
812	7738	1779
813	7745	1769
814	7749	1759
815	7752	1748
816	7758	1737
817	7764	1727
818	7776	1718
819	7786	1709
820	7789	1698
821	7799	1688
822	7806	1678
823	7820	1670
824	7824	1659
825	7834	1650
826	7839	1639
827	7844	1629
828	7857	1620
829	7887	1615
830	7909	1608
831	7915	1598
832	7919	1587
833	7922	1576
834	7935	1568
835	7947	1559
836	7950	1548
837	7956	1538
838	7985	1532
839	7994	1522
840	8011	1514
841	8027	1506
842	8032	1496
843	8039	1486
844	8074	1481
845	8081	1471
846	8085	1460
847	8089	1449
848	8093	1439
849	8141	1436
850	8145	1426
851	8149	1415
852	8153	1405
853	8156	1394
854	8165	1384
855	8168	1374
856	8197	1367
857	8200	1357
858	8211	1347
859	8214	1337
860	8229	1328
861	8232	1317
862	8235	1307
863	8246	1298
864	8251	1287
865	8258	1277
866	8261	1267
867	8263	1256
868	8275	1247
869	8278	1236
870	8281	1226
871	8285	1216
872	8288	1205
873	8290	1195
874	8293	1184
875	8301	1175
876	8304	1164
877	8306	1154
878	8309	1143
879	8314	1133
880	8317	1123
881	8320	1113
882	8329	1103
883	8331	1093
884	8334	1083
885	8368	1076
886	8379	1067
887	8382	1057
888	8385	1046
889	8396	1037
890	8399	1027
891	8412	1018
892	8414	1008
893	8419	998
894	8447	991
895	8457	981
896	8461	971
897	8463	961
898	8466	951
899	8469	941
900	8471	930
901	8474	920
902	8481	911
903	8484	900
904	8486	890
905	8498	881
906	8501	871
907	8503	861
908	8514	852
909	8529	843
910	8532	833
911	8535	823
912	8543	814
913	8547	804
914	8563	795
915	8585	787
916	8592	777
917	8597	767
918	8604	758
919	8613	749
920	8619	739
921	8623	729
922	8635	720
923	8637	710
924	8644	700
925	8651	691
926	8654	681
927	8656	671
928	8660	661
929	8671	652
930	8691	644
931	8698	634
932	8706	625
933	8709	615
934	8717	606
935	8721	596
936	8724	586
937	8730	577
938	8754	568
939	8764	559
940	8767	549
941	8770	539
942	8780	530
943	8782	521
944	8785	511
945	8787	501
946	8790	491
947	8792	482
948	8795	472
949	8836	465
950	8839	455
951	8843	445
952	8850	436
953	8856	427
954	8860	417
955	8867	408
956	8871	398
957	8875	389
958	8884	379
959	8887	370
960	8889	360
961	8908	351
962	8920	342
963	8923	333
964	8936	324
965	8938	314
966	8956	305
967	8960	296
968	8965	286
969	8969	277
970	8983	268
971	8991	259
972	9000	249
973	9011	240
974	9016	231
975	9030	222
976	9036	212
977	9045	203
978	9060	194
979	9067	185
980	9077	175
981	9086	166
982	9093	157
983	9096	147
984	9109	138
985	9112	129
986	9122	120
987	9125	110
988	9127	101
989	9171	92
990	9174	83
991	9181	74
992	9189	64
993	9192	55
994	9201	46
995	9205	36
996	9208	27
997	9239	18
998	9245	9
999	9254	0
